#BIND_OUTPUT version: 3.0

#JOB_TITLE: 0-7

; ********* Atoms within the unit cell:  *********
# NUMBER OF ATOMS: 
	372
# ATOMIC POSITIONS
 156    C 105.758751 57.252392 101.348167
 157    H 105.458878 57.317333 100.263786
 158    H 105.644020 56.189449 101.657150
 159    C 112.972313 72.834503 102.462029
 160    H 112.438560 73.676216 101.912148
 161    H 113.986938 73.149643 102.633026
 162    C 109.446587 61.759167 114.211433
 163    H 109.843407 62.373302 113.358513
 164    H 110.346710 61.426727 114.862038
 165    C 117.240761 70.455505 108.709373
 166    H 118.244995 70.219933 108.583694
 167    H 117.153572 71.349442 109.352852
 168    C 104.755363 58.096127 102.094345
 169    H 105.104988 58.274181 103.122360
 170    H 104.824944 59.045849 101.474091
 171    C 116.506157 70.696976 107.360992
 172    H 116.801743 71.605820 106.905464
 173    H 116.730911 69.864372 106.748512
 174    H 115.361816 70.668800 107.469505
 175    C 108.621819 62.485340 115.269577
 176    H 108.401505 61.858078 116.165390
 177    H 109.294861 63.327114 115.638359
 178    H 107.770393 63.063221 114.942200
 179    C 112.465157 72.638481 103.884544
 180    H 112.495209 73.544762 104.550072
 181    H 111.474770 72.168968 103.904449
 182    H 113.166924 71.981834 104.348343
 183    C 103.351868 57.386196 102.111366
 184    H 102.831306 57.381268 101.129684
 185    H 103.576675 56.349789 102.402000
 186    H 102.644638 57.874508 102.801888
 187    C 115.043198 86.792915 100.606705
 188    C 114.782097 86.984894 101.968269
 189    C 115.003105 85.868614 102.829765
 190    C 115.466637 84.652382 102.406456
 191    C 115.766350 84.506302 101.024353
 192    C 115.550171 85.613892 100.168159
 193    H 114.927773 87.540085 99.834427
 194    H 115.554337 83.813438 103.081696
 195    C 114.361420 88.230339 102.693710
 196    C 114.254036 87.711960 104.088348
 197    C 114.621147 86.374115 104.136757
 198    C 113.957603 88.175293 105.366089
 199    C 114.207138 87.247406 106.426819
 200    S 114.568695 85.702133 105.732407
 201    C 116.229385 83.271408 100.284714
 202    C 116.231140 83.862595 98.826691
 203    C 115.966560 85.231560 98.849930
 204    C 116.630257 83.473335 97.535789
 205    C 116.569077 84.486130 96.626999
 206    S 115.902451 85.993065 97.373474
 207    C 114.187881 87.795219 107.735603
 208    S 113.437874 89.730057 106.015121
 209    S 117.223770 81.987549 96.716927
 210    C 116.871613 84.128181 95.331161
 211    C 113.824013 89.210129 107.670341
 212    C 117.395927 82.818825 95.160835
 213    H 114.490013 87.232681 108.606644
 214    H 116.964722 84.886681 94.584633
 215    C 117.928284 82.379524 93.930168
 216    C 118.428482 83.062332 92.838531
 217    C 118.753586 84.538330 92.676361
 218    C 118.927162 82.364891 91.649818
 219    C 119.260529 84.696564 91.303116
 220    O 118.594017 85.458946 93.467934
 221    C 119.276680 83.401588 90.646118
 222    C 118.854561 80.975113 91.348869
 223    C 119.686562 85.889656 90.632126
 224    C 119.674858 83.327469 89.255821
 225    C 118.361053 80.023125 92.281288
 226    C 119.360146 80.455536 90.201050
 227    C 120.031731 85.789169 89.252991
 228    H 119.791832 86.855309 91.129921
 229    C 119.943558 84.502434 88.577362
 230    H 119.764809 82.369736 88.715370
 231    N 117.940102 79.219238 93.063820
 232    N 119.814384 80.032867 89.224594
 233    H 120.409424 86.540871 88.653358
 234    H 120.196358 84.356644 87.485924
 235    H 117.935081 81.302231 93.769432
 236    C 113.854248 89.967918 108.869118
 237    C 114.224945 89.605736 110.165512
 238    C 114.807999 88.327560 110.535683
 239    C 114.233093 90.510063 111.325592
 240    C 115.224525 88.447853 111.940208
 241    O 115.026825 87.366463 109.817497
 242    C 114.954575 89.738876 112.377525
 243    C 113.847717 91.853714 111.523895
 244    C 115.856171 87.522041 112.642120
 245    C 115.291267 90.064598 113.704308
 246    C 113.295815 92.791962 110.556404
 247    C 114.204239 92.628471 112.670219
 248    C 116.193199 87.872299 113.959381
 249    H 116.139221 86.515404 112.371109
 250    C 115.947990 89.119896 114.458664
 251    H 115.123032 91.086281 114.111816
 252    N 112.731224 93.477867 109.780441
 253    N 114.496353 93.172134 113.679413
 254    H 116.727760 87.084045 114.461212
 255    H 116.385925 89.401825 115.426277
 256    H 113.588882 90.937561 108.700615
 257    C 115.124092 82.194290 100.380341
 258    C 114.420036 81.914551 101.580574
 259    C 114.980537 81.228859 99.365433
 260    C 113.640434 80.798698 101.806633
 261    H 114.621063 82.501167 102.467369
 262    C 114.110970 80.151695 99.532288
 263    H 115.618965 81.189835 98.453453
 264    C 113.478928 79.816490 100.749954
 265    H 113.162537 80.564117 102.689949
 266    H 114.081612 79.414803 98.704712
 267    C 112.983589 88.827469 102.291824
 268    C 112.577202 90.113564 102.716797
 269    C 112.097511 88.082191 101.510788
 270    C 111.402992 90.670662 102.230751
 271    H 113.150215 90.682152 103.389153
 272    C 110.878029 88.622681 101.072845
 273    H 112.301537 87.034599 101.317375
 274    C 110.504623 89.897758 101.539810
 275    H 111.095322 91.656837 102.498718
 276    H 110.223030 88.002869 100.450256
 277    C 115.478821 89.313698 102.607285
 278    C 115.679474 90.148796 103.702698
 279    C 116.227531 89.542519 101.438469
 280    C 116.677940 91.101318 103.748672
 281    H 115.109703 90.011612 104.591454
 282    C 117.152489 90.619575 101.387367
 283    H 116.072372 88.880386 100.653572
 284    C 117.428535 91.395004 102.596794
 285    H 116.851166 91.643829 104.638748
 286    H 117.633514 90.911514 100.410507
 287    C 117.657616 82.741913 100.593826
 288    C 118.728119 83.576393 100.895226
 289    C 117.949783 81.360512 100.483658
 290    C 120.033401 83.108932 101.208130
 291    H 118.606827 84.628143 100.780724
 292    C 119.268906 80.860832 100.797684
 293    H 117.123421 80.772308 100.078987
 294    C 120.321625 81.745354 101.195206
 295    H 120.883446 83.802757 101.434425
 296    H 119.570335 79.841660 100.665543
 297    C 118.370148 92.523117 102.601418
 298    H 118.506187 92.781784 101.544907
 299    H 117.813614 93.373192 102.928337
 300    C 119.653526 92.411507 103.356880
 301    H 119.370911 91.879578 104.320312
 302    H 120.373825 91.703392 102.980392
 303    C 120.194832 93.860397 103.656334
 304    H 119.354225 94.428062 104.168854
 305    H 120.934708 93.831184 104.426346
 306    C 112.665413 78.509453 100.859428
 307    H 112.611908 77.994972 99.926727
 308    H 113.462624 77.861351 101.387520
 309    C 111.411324 78.464211 101.709610
 310    H 110.608833 79.068222 101.241135
 311    H 111.021606 77.469673 101.835907
 312    C 111.828194 79.103058 103.047615
 313    H 111.922569 80.144157 103.004868
 314    H 112.767555 78.729416 103.519951
 315    C 121.764793 81.348297 101.307701
 316    H 121.878693 80.330887 100.863121
 317    H 122.306877 82.131401 100.700294
 318    C 122.170235 81.337006 102.743095
 319    H 121.542343 80.716446 103.362541
 320    H 123.248772 81.062057 102.877632
 321    C 122.175232 82.755936 103.184959
 322    H 122.569023 83.442253 102.418556
 323    H 121.110054 82.915810 103.220352
 324    C 109.200455 90.543945 101.132538
 325    H 109.353676 91.384560 100.508911
 326    H 108.786682 90.941864 102.058022
 327    C 108.311935 89.608429 100.387543
 328    H 107.521378 90.143875 99.950745
 329    H 108.936493 89.292694 99.556442
 330    C 107.917603 88.259018 101.169067
 331    H 108.808319 87.658440 101.469261
 332    H 107.272949 87.710815 100.518990
 333    C 110.705437 78.783089 103.992126
 334    H 110.839508 79.273163 104.936623
 335    H 109.746048 79.148880 103.509453
 336    C 107.075699 88.599533 102.386093
 337    H 107.670319 88.997688 103.203331
 338    H 106.371025 89.339226 102.058701
 339    C 122.872246 82.916504 104.536499
 340    H 123.946732 83.090645 104.316971
 341    H 122.524696 83.847153 105.023056
 342    C 120.637314 94.704224 102.444130
 343    H 121.541855 94.247932 102.110435
 344    H 119.889877 94.446701 101.673653
 345    C 122.728004 81.721634 105.513870
 346    H 121.661621 81.667831 105.698647
 347    H 123.128822 81.962341 106.472099
 348    C 106.254761 87.328262 102.807343
 349    H 105.935509 87.432159 103.835052
 350    H 106.812813 86.428314 102.811096
 351    C 110.721489 77.329285 104.464821
 352    H 111.712761 77.185547 104.916794
 353    H 110.584457 76.564476 103.673904
 354    C 120.521591 96.238190 102.554031
 355    H 119.534485 96.521767 102.792183
 356    H 121.222542 96.592728 103.273140
 357    C 109.534988 77.175156 105.431259
 358    H 109.517593 76.226128 105.994995
 359    H 109.345055 78.008789 106.122971
 360    H 108.704864 77.124222 104.773872
 361    C 104.991882 87.096634 101.917549
 362    H 104.527397 86.129158 102.078888
 363    H 104.354424 87.955414 102.095657
 364    H 105.321274 87.047302 100.909782
 365    C 123.150711 80.400345 104.976860
 366    H 124.202950 80.394859 104.757393
 367    H 122.770622 79.617325 105.621262
 368    H 122.653442 80.168129 104.019577
 369    C 121.039444 96.846642 101.329002
 370    H 121.305084 97.888878 101.540749
 371    H 121.884094 96.385498 100.960037
 372    H 120.305977 96.800636 100.572853


# ******** Extended Hueckel Parameters ********
;  FORMAT  quantum number orbital: Hii, <c1>, exponent1, <c2>, <exponent2>

ATOM: C   Atomic number: 6  # Valence Electrons: 4
	2S:   -21.4000     1.6250
	2P:   -11.4000     1.6250
ATOM: H   Atomic number: 1  # Valence Electrons: 1
	1S:   -13.6000     1.3000
ATOM: S   Atomic number: 16  # Valence Electrons: 6
	3S:   -20.0000     2.1220
	3P:   -11.0000     1.8270
ATOM: O   Atomic number: 8  # Valence Electrons: 6
	2S:   -32.3000     2.2750
	2P:   -14.8000     2.2750
ATOM: N   Atomic number: 7  # Valence Electrons: 5
	2S:   -26.0000     1.9500
	2P:   -13.4000     1.9500

; Number of orbitals
#Num_Orbitals: 996
